invoice_no;customer_id;gender;age;category;sku_id;quantity;price;payment_method;invoice_date;shopping_mall;elasticidad_producto;elasticidad_categoria;volumen_promedio_producto;volumen_promedio_categoria;elasticidad_relativa;volumen_relativo;recomendacion_precio;rol_producto;estrategia_recomendada;estrategia_resumen;n_obs_producto
INV02234;CUST0020;Male;50,00;Home Goods;SKU-096;2,00;89,64;Credit Card;2025-05-23;North Mall;-0,13;-0,03;1,54;1,52;3,98;1,01;Bajar mucho;Generador de trafico;Estrategia de penetración: Precios competitivos y promociones agresivas. Alta sensibilidad al precio con alto volumen. Priorizar adquisición de clientes, cross-selling y ventas complementarias. Ofrecer descuentos estratégicos para aumentar volumen y cuota de mercado.;Precios competitivos y promociones;56,00
INV02235;CUST0161;Female;59,00;Clothing;SKU-007;2,00;74,70;Credit Card;2025-08-02;Downtown Galleria;-0,02;0,01;2,35;2,49;-2,77;0,94;Bajar mucho;Promesa de valor;Posicionamiento por valor: Precio competitivo con diferenciación por calidad. Producto sensible al precio con bajo volumen. Invertir en marketing, branding y fidelización para aumentar volumen. Reducir precios para penetrar mercado y convertir en 'Generador de trafico'.;Precio competitivo, crecer volumen;54,00
INV02236;CUST0012;Male;50,00;Home Goods;SKU-085;1,00;46,57;Credit Card;2025-08-19;Westside Plaza;-0,00;-0,03;1,35;1,52;0,04;0,89;Subir mucho;Estabilizador de ingresos;Posicionamiento premium: Mantener precios altos para nicho leal. Demanda inelástica con bajo volumen. Enfocarse en calidad superior, exclusividad y segmentación de clientes de alto valor. Considerar descontinuar si los márgenes no justifican el inventario.;Mantener premium, nicho leal;52,00
INV02237;CUST0049;Male;52,00;Electronics;SKU-049;1,00;758,87;Credit Card;2025-05-29;North Mall;-0,00;0,00;1,00;1,00;N/A;1,00;Mantener;Sin clasificar;Recopilar más datos históricos de precios y ventas para realizar análisis de elasticidad y volumen. Se requieren al menos 3 observaciones de precio-cantidad para estimar elasticidad confiable.;Recolectar mas datos;56,00
INV02238;CUST0098;Male;55,00;Food & Drink;SKU-072;4,00;4,10;Credit Card;2025-08-07;Downtown Galleria;-0,03;0,00;4,38;4,53;-41,59;0,97;Bajar mucho;Promesa de valor;Posicionamiento por valor: Precio competitivo con diferenciación por calidad. Producto sensible al precio con bajo volumen. Invertir en marketing, branding y fidelización para aumentar volumen. Reducir precios para penetrar mercado y convertir en 'Generador de trafico'.;Precio competitivo, crecer volumen;52,00
INV02239;CUST0199;Female;24,00;Electronics;SKU-049;1,00;458,05;Cash;2025-09-27;Downtown Galleria;-0,00;0,00;1,00;1,00;N/A;1,00;Mantener;Sin clasificar;Recopilar más datos históricos de precios y ventas para realizar análisis de elasticidad y volumen. Se requieren al menos 3 observaciones de precio-cantidad para estimar elasticidad confiable.;Recolectar mas datos;56,00
INV02240;CUST0030;Female;32,00;Home Goods;SKU-082;2,00;139,33;Credit Card;2025-06-13;Westside Plaza;-0,27;-0,03;1,56;1,52;8,03;1,03;Bajar mucho;Generador de trafico;Estrategia de penetración: Precios competitivos y promociones agresivas. Alta sensibilidad al precio con alto volumen. Priorizar adquisición de clientes, cross-selling y ventas complementarias. Ofrecer descuentos estratégicos para aumentar volumen y cuota de mercado.;Precios competitivos y promociones;48,00
INV02241;CUST0112;Female;47,00;Electronics;SKU-052;1,00;592,61;Credit Card;2025-07-10;North Mall;0,00;0,00;1,00;1,00;N/A;1,00;Mantener;Sin clasificar;Recopilar más datos históricos de precios y ventas para realizar análisis de elasticidad y volumen. Se requieren al menos 3 observaciones de precio-cantidad para estimar elasticidad confiable.;Recolectar mas datos;47,00
INV02242;CUST0151;Female;50,00;Clothing;SKU-015;2,00;70,83;Credit Card;2025-06-25;Downtown Galleria;0,17;0,01;2,44;2,49;22,18;0,98;Bajar mucho;Promesa de valor;Posicionamiento por valor: Precio competitivo con diferenciación por calidad. Producto sensible al precio con bajo volumen. Invertir en marketing, branding y fidelización para aumentar volumen. Reducir precios para penetrar mercado y convertir en 'Generador de trafico'.;Precio competitivo, crecer volumen;52,00
INV02243;CUST0112;Female;43,00;Clothing;SKU-002;2,00;69,58;Credit Card;2025-08-13;North Mall;-0,00;0,01;2,31;2,49;-0,51;0,93;Mantener;Estabilizador de ingresos;Posicionamiento premium: Mantener precios altos para nicho leal. Demanda inelástica con bajo volumen. Enfocarse en calidad superior, exclusividad y segmentación de clientes de alto valor. Considerar descontinuar si los márgenes no justifican el inventario.;Mantener premium, nicho leal;42,00
INV02244;CUST0053;Female;58,00;Clothing;SKU-016;4,00;88,39;Credit Card;2025-08-22;North Mall;0,01;0,01;2,47;2,49;1,47;0,99;Bajar;Promesa de valor;Posicionamiento por valor: Precio competitivo con diferenciación por calidad. Producto sensible al precio con bajo volumen. Invertir en marketing, branding y fidelización para aumentar volumen. Reducir precios para penetrar mercado y convertir en 'Generador de trafico'.;Precio competitivo, crecer volumen;51,00
INV02245;CUST0195;Male;29,00;Food & Drink;SKU-074;4,00;24,36;Credit Card;2025-09-08;Westside Plaza;0,02;0,00;4,81;4,53;34,18;1,06;Bajar mucho;Generador de trafico;Estrategia de penetración: Precios competitivos y promociones agresivas. Alta sensibilidad al precio con alto volumen. Priorizar adquisición de clientes, cross-selling y ventas complementarias. Ofrecer descuentos estratégicos para aumentar volumen y cuota de mercado.;Precios competitivos y promociones;57,00
INV02246;CUST0073;Male;45,00;Clothing;SKU-023;2,00;33,75;Credit Card;2025-08-23;Westside Plaza;0,07;0,01;2,50;2,49;8,92;1,00;Bajar mucho;Generador de trafico;Estrategia de penetración: Precios competitivos y promociones agresivas. Alta sensibilidad al precio con alto volumen. Priorizar adquisición de clientes, cross-selling y ventas complementarias. Ofrecer descuentos estratégicos para aumentar volumen y cuota de mercado.;Precios competitivos y promociones;52,00
INV02247;CUST0144;Male;47,00;Home Goods;SKU-100;1,00;210,17;Cash;2025-08-24;North Mall;-0,01;-0,03;1,57;1,52;0,29;1,04;Subir;Generador de ganancias;Maximizar márgenes: Subir precios gradualmente sin perder volumen. Producto con demanda inelástica y alto volumen. Priorizar disponibilidad, calidad y mantener cuota de mercado. Fuente estable de ingresos y efectivo.;Subir precio gradual, maximizar margen;47,00
INV02248;CUST0181;Male;38,00;Electronics;SKU-034;1,00;798,20;Credit Card;2025-05-22;North Mall;0,00;0,00;1,00;1,00;N/A;1,00;Mantener;Sin clasificar;Recopilar más datos históricos de precios y ventas para realizar análisis de elasticidad y volumen. Se requieren al menos 3 observaciones de precio-cantidad para estimar elasticidad confiable.;Recolectar mas datos;51,00
INV02249;CUST0089;Male;30,00;Clothing;SKU-005;2,00;35,46;Credit Card;2025-06-01;North Mall;0,22;0,01;2,55;2,49;28,64;1,02;Bajar mucho;Generador de trafico;Estrategia de penetración: Precios competitivos y promociones agresivas. Alta sensibilidad al precio con alto volumen. Priorizar adquisición de clientes, cross-selling y ventas complementarias. Ofrecer descuentos estratégicos para aumentar volumen y cuota de mercado.;Precios competitivos y promociones;53,00
INV02250;CUST0052;Male;23,00;Home Goods;SKU-085;1,00;218,38;Credit Card;2025-10-26;North Mall;-0,00;-0,03;1,35;1,52;0,04;0,89;Subir mucho;Estabilizador de ingresos;Posicionamiento premium: Mantener precios altos para nicho leal. Demanda inelástica con bajo volumen. Enfocarse en calidad superior, exclusividad y segmentación de clientes de alto valor. Considerar descontinuar si los márgenes no justifican el inventario.;Mantener premium, nicho leal;52,00
INV02251;CUST0151;Female;52,00;Clothing;SKU-029;2,00;119,15;Debit Card;2025-05-21;Downtown Galleria;0,08;0,01;2,58;2,49;9,97;1,04;Bajar mucho;Generador de trafico;Estrategia de penetración: Precios competitivos y promociones agresivas. Alta sensibilidad al precio con alto volumen. Priorizar adquisición de clientes, cross-selling y ventas complementarias. Ofrecer descuentos estratégicos para aumentar volumen y cuota de mercado.;Precios competitivos y promociones;53,00
INV02252;CUST0130;Female;41,00;Food & Drink;SKU-070;5,00;12,93;Debit Card;2025-05-22;North Mall;0,01;0,00;4,33;4,53;17,90;0,95;Bajar mucho;Promesa de valor;Posicionamiento por valor: Precio competitivo con diferenciación por calidad. Producto sensible al precio con bajo volumen. Invertir en marketing, branding y fidelización para aumentar volumen. Reducir precios para penetrar mercado y convertir en 'Generador de trafico'.;Precio competitivo, crecer volumen;61,00
INV02253;CUST0179;Female;56,00;Home Goods;SKU-100;1,00;210,81;Credit Card;2025-07-14;North Mall;-0,01;-0,03;1,57;1,52;0,29;1,04;Subir;Generador de ganancias;Maximizar márgenes: Subir precios gradualmente sin perder volumen. Producto con demanda inelástica y alto volumen. Priorizar disponibilidad, calidad y mantener cuota de mercado. Fuente estable de ingresos y efectivo.;Subir precio gradual, maximizar margen;47,00
INV02254;CUST0165;Female;44,00;Home Goods;SKU-084;1,00;57,98;Credit Card;2025-07-09;North Mall;-0,10;-0,03;1,53;1,52;3,00;1,01;Bajar mucho;Generador de trafico;Estrategia de penetración: Precios competitivos y promociones agresivas. Alta sensibilidad al precio con alto volumen. Priorizar adquisición de clientes, cross-selling y ventas complementarias. Ofrecer descuentos estratégicos para aumentar volumen y cuota de mercado.;Precios competitivos y promociones;43,00
INV02255;CUST0023;Male;59,00;Home Goods;SKU-099;2,00;156,36;Credit Card;2025-05-28;North Mall;0,11;-0,03;1,55;1,52;-3,32;1,02;Bajar mucho;Generador de trafico;Estrategia de penetración: Precios competitivos y promociones agresivas. Alta sensibilidad al precio con alto volumen. Priorizar adquisición de clientes, cross-selling y ventas complementarias. Ofrecer descuentos estratégicos para aumentar volumen y cuota de mercado.;Precios competitivos y promociones;55,00
INV02256;CUST0165;Male;56,00;Clothing;SKU-008;3,00;107,14;Credit Card;2025-07-19;Westside Plaza;0,18;0,01;2,46;2,49;23,06;0,99;Bajar mucho;Promesa de valor;Posicionamiento por valor: Precio competitivo con diferenciación por calidad. Producto sensible al precio con bajo volumen. Invertir en marketing, branding y fidelización para aumentar volumen. Reducir precios para penetrar mercado y convertir en 'Generador de trafico'.;Precio competitivo, crecer volumen;50,00
INV02257;CUST0184;Female;45,00;Electronics;SKU-052;1,00;798,17;Debit Card;2025-10-31;Westside Plaza;0,00;0,00;1,00;1,00;N/A;1,00;Mantener;Sin clasificar;Recopilar más datos históricos de precios y ventas para realizar análisis de elasticidad y volumen. Se requieren al menos 3 observaciones de precio-cantidad para estimar elasticidad confiable.;Recolectar mas datos;47,00
INV02258;CUST0051;Female;33,00;Clothing;SKU-017;2,00;95,98;Credit Card;2025-08-12;North Mall;-0,03;0,01;2,38;2,49;-4,15;0,96;Bajar mucho;Promesa de valor;Posicionamiento por valor: Precio competitivo con diferenciación por calidad. Producto sensible al precio con bajo volumen. Invertir en marketing, branding y fidelización para aumentar volumen. Reducir precios para penetrar mercado y convertir en 'Generador de trafico'.;Precio competitivo, crecer volumen;55,00
INV02259;CUST0090;Female;37,00;Electronics;SKU-033;1,00;824,26;Debit Card;2025-06-06;Westside Plaza;0,00;0,00;1,00;1,00;N/A;1,00;Mantener;Sin clasificar;Recopilar más datos históricos de precios y ventas para realizar análisis de elasticidad y volumen. Se requieren al menos 3 observaciones de precio-cantidad para estimar elasticidad confiable.;Recolectar mas datos;52,00
INV02260;CUST0065;Female;20,00;Clothing;SKU-015;3,00;100,23;Credit Card;2025-07-29;Westside Plaza;0,17;0,01;2,44;2,49;22,18;0,98;Bajar mucho;Promesa de valor;Posicionamiento por valor: Precio competitivo con diferenciación por calidad. Producto sensible al precio con bajo volumen. Invertir en marketing, branding y fidelización para aumentar volumen. Reducir precios para penetrar mercado y convertir en 'Generador de trafico'.;Precio competitivo, crecer volumen;52,00
INV02261;CUST0024;Male;47,00;Electronics;SKU-044;1,00;516,02;Cash;2025-05-15;Westside Plaza;0,00;0,00;1,00;1,00;N/A;1,00;Mantener;Sin clasificar;Recopilar más datos históricos de precios y ventas para realizar análisis de elasticidad y volumen. Se requieren al menos 3 observaciones de precio-cantidad para estimar elasticidad confiable.;Recolectar mas datos;37,00
INV02262;CUST0067;Female;50,00;Clothing;SKU-025;3,00;81,73;Credit Card;2025-09-20;Downtown Galleria;0,05;0,01;2,55;2,49;5,87;1,02;Bajar mucho;Generador de trafico;Estrategia de penetración: Precios competitivos y promociones agresivas. Alta sensibilidad al precio con alto volumen. Priorizar adquisición de clientes, cross-selling y ventas complementarias. Ofrecer descuentos estratégicos para aumentar volumen y cuota de mercado.;Precios competitivos y promociones;53,00
INV02263;CUST0088;Female;59,00;Electronics;SKU-052;1,00;445,52;Credit Card;2025-07-01;North Mall;0,00;0,00;1,00;1,00;N/A;1,00;Mantener;Sin clasificar;Recopilar más datos históricos de precios y ventas para realizar análisis de elasticidad y volumen. Se requieren al menos 3 observaciones de precio-cantidad para estimar elasticidad confiable.;Recolectar mas datos;47,00
INV02264;CUST0122;Female;52,00;Food & Drink;SKU-068;5,00;31,36;Credit Card;2025-08-16;Westside Plaza;-0,01;0,00;4,59;4,53;-16,29;1,01;Bajar mucho;Generador de trafico;Estrategia de penetración: Precios competitivos y promociones agresivas. Alta sensibilidad al precio con alto volumen. Priorizar adquisición de clientes, cross-selling y ventas complementarias. Ofrecer descuentos estratégicos para aumentar volumen y cuota de mercado.;Precios competitivos y promociones;49,00
INV02265;CUST0097;Female;30,00;Food & Drink;SKU-074;5,00;41,58;Credit Card;2025-05-22;North Mall;0,02;0,00;4,81;4,53;34,18;1,06;Bajar mucho;Generador de trafico;Estrategia de penetración: Precios competitivos y promociones agresivas. Alta sensibilidad al precio con alto volumen. Priorizar adquisición de clientes, cross-selling y ventas complementarias. Ofrecer descuentos estratégicos para aumentar volumen y cuota de mercado.;Precios competitivos y promociones;57,00
INV02266;CUST0166;Female;57,00;Home Goods;SKU-087;1,00;139,04;Cash;2025-05-28;Westside Plaza;-0,02;-0,03;1,55;1,52;0,47;1,02;Subir;Generador de ganancias;Maximizar márgenes: Subir precios gradualmente sin perder volumen. Producto con demanda inelástica y alto volumen. Priorizar disponibilidad, calidad y mantener cuota de mercado. Fuente estable de ingresos y efectivo.;Subir precio gradual, maximizar margen;65,00
INV02267;CUST0168;Female;35,00;Home Goods;SKU-086;2,00;146,25;Cash;2025-09-02;Westside Plaza;-0,08;-0,03;1,43;1,52;2,57;0,94;Bajar mucho;Promesa de valor;Posicionamiento por valor: Precio competitivo con diferenciación por calidad. Producto sensible al precio con bajo volumen. Invertir en marketing, branding y fidelización para aumentar volumen. Reducir precios para penetrar mercado y convertir en 'Generador de trafico'.;Precio competitivo, crecer volumen;47,00
INV02268;CUST0168;Female;57,00;Electronics;SKU-055;1,00;754,36;Credit Card;2025-08-19;Westside Plaza;-0,00;0,00;1,00;1,00;N/A;1,00;Mantener;Sin clasificar;Recopilar más datos históricos de precios y ventas para realizar análisis de elasticidad y volumen. Se requieren al menos 3 observaciones de precio-cantidad para estimar elasticidad confiable.;Recolectar mas datos;48,00
INV02269;CUST0168;Female;51,00;Home Goods;SKU-100;2,00;169,64;Credit Card;2025-10-01;North Mall;-0,01;-0,03;1,57;1,52;0,29;1,04;Subir;Generador de ganancias;Maximizar márgenes: Subir precios gradualmente sin perder volumen. Producto con demanda inelástica y alto volumen. Priorizar disponibilidad, calidad y mantener cuota de mercado. Fuente estable de ingresos y efectivo.;Subir precio gradual, maximizar margen;47,00
INV02270;CUST0057;Female;38,00;Home Goods;SKU-084;1,00;200,76;Credit Card;2025-08-19;Westside Plaza;-0,10;-0,03;1,53;1,52;3,00;1,01;Bajar mucho;Generador de trafico;Estrategia de penetración: Precios competitivos y promociones agresivas. Alta sensibilidad al precio con alto volumen. Priorizar adquisición de clientes, cross-selling y ventas complementarias. Ofrecer descuentos estratégicos para aumentar volumen y cuota de mercado.;Precios competitivos y promociones;43,00
INV02271;CUST0028;Male;41,00;Clothing;SKU-020;2,00;77,20;Cash;2025-10-23;North Mall;0,02;0,01;2,51;2,49;2,96;1,01;Bajar mucho;Generador de trafico;Estrategia de penetración: Precios competitivos y promociones agresivas. Alta sensibilidad al precio con alto volumen. Priorizar adquisición de clientes, cross-selling y ventas complementarias. Ofrecer descuentos estratégicos para aumentar volumen y cuota de mercado.;Precios competitivos y promociones;45,00
INV02272;CUST0134;Male;44,00;Clothing;SKU-024;3,00;47,42;Credit Card;2025-07-16;Westside Plaza;0,02;0,01;2,57;2,49;2,56;1,03;Bajar mucho;Generador de trafico;Estrategia de penetración: Precios competitivos y promociones agresivas. Alta sensibilidad al precio con alto volumen. Priorizar adquisición de clientes, cross-selling y ventas complementarias. Ofrecer descuentos estratégicos para aumentar volumen y cuota de mercado.;Precios competitivos y promociones;47,00
INV02273;CUST0170;Female;46,00;Clothing;SKU-014;2,00;78,40;Credit Card;2025-08-22;Westside Plaza;-0,08;0,01;2,48;2,49;-10,33;0,99;Bajar mucho;Promesa de valor;Posicionamiento por valor: Precio competitivo con diferenciación por calidad. Producto sensible al precio con bajo volumen. Invertir en marketing, branding y fidelización para aumentar volumen. Reducir precios para penetrar mercado y convertir en 'Generador de trafico'.;Precio competitivo, crecer volumen;48,00
INV02274;CUST0029;Male;47,00;Electronics;SKU-040;1,00;483,41;Debit Card;2025-07-23;Downtown Galleria;0,00;0,00;1,00;1,00;N/A;1,00;Mantener;Sin clasificar;Recopilar más datos históricos de precios y ventas para realizar análisis de elasticidad y volumen. Se requieren al menos 3 observaciones de precio-cantidad para estimar elasticidad confiable.;Recolectar mas datos;54,00
INV02275;CUST0186;Female;20,00;Clothing;SKU-030;2,00;33,41;Credit Card;2025-11-09;North Mall;0,18;0,01;2,55;2,49;23,39;1,02;Bajar mucho;Generador de trafico;Estrategia de penetración: Precios competitivos y promociones agresivas. Alta sensibilidad al precio con alto volumen. Priorizar adquisición de clientes, cross-selling y ventas complementarias. Ofrecer descuentos estratégicos para aumentar volumen y cuota de mercado.;Precios competitivos y promociones;49,00
INV02276;CUST0115;Female;59,00;Home Goods;SKU-093;2,00;90,73;Cash;2025-10-26;Downtown Galleria;-0,08;-0,03;1,51;1,52;2,49;0,99;Bajar mucho;Promesa de valor;Posicionamiento por valor: Precio competitivo con diferenciación por calidad. Producto sensible al precio con bajo volumen. Invertir en marketing, branding y fidelización para aumentar volumen. Reducir precios para penetrar mercado y convertir en 'Generador de trafico'.;Precio competitivo, crecer volumen;55,00
INV02277;CUST0136;Male;39,00;Food & Drink;SKU-076;5,00;36,21;Credit Card;2025-05-26;Westside Plaza;-0,08;0,00;4,68;4,53;-108,37;1,03;Bajar mucho;Generador de trafico;Estrategia de penetración: Precios competitivos y promociones agresivas. Alta sensibilidad al precio con alto volumen. Priorizar adquisición de clientes, cross-selling y ventas complementarias. Ofrecer descuentos estratégicos para aumentar volumen y cuota de mercado.;Precios competitivos y promociones;57,00
INV02278;CUST0002;Male;36,00;Clothing;SKU-015;3,00;139,24;Cash;2025-09-14;North Mall;0,17;0,01;2,44;2,49;22,18;0,98;Bajar mucho;Promesa de valor;Posicionamiento por valor: Precio competitivo con diferenciación por calidad. Producto sensible al precio con bajo volumen. Invertir en marketing, branding y fidelización para aumentar volumen. Reducir precios para penetrar mercado y convertir en 'Generador de trafico'.;Precio competitivo, crecer volumen;52,00
INV02279;CUST0097;Female;27,00;Clothing;SKU-028;3,00;37,75;Debit Card;2025-06-28;Downtown Galleria;0,12;0,01;2,52;2,49;15,21;1,01;Bajar mucho;Generador de trafico;Estrategia de penetración: Precios competitivos y promociones agresivas. Alta sensibilidad al precio con alto volumen. Priorizar adquisición de clientes, cross-selling y ventas complementarias. Ofrecer descuentos estratégicos para aumentar volumen y cuota de mercado.;Precios competitivos y promociones;40,00
INV02280;CUST0182;Male;31,00;Clothing;SKU-004;3,00;76,67;Credit Card;2025-07-22;Downtown Galleria;-0,13;0,01;2,43;2,49;-17,40;0,97;Bajar mucho;Promesa de valor;Posicionamiento por valor: Precio competitivo con diferenciación por calidad. Producto sensible al precio con bajo volumen. Invertir en marketing, branding y fidelización para aumentar volumen. Reducir precios para penetrar mercado y convertir en 'Generador de trafico'.;Precio competitivo, crecer volumen;49,00
INV02281;CUST0042;Female;27,00;Food & Drink;SKU-070;6,00;42,13;Cash;2025-09-14;North Mall;0,01;0,00;4,33;4,53;17,90;0,95;Bajar mucho;Promesa de valor;Posicionamiento por valor: Precio competitivo con diferenciación por calidad. Producto sensible al precio con bajo volumen. Invertir en marketing, branding y fidelización para aumentar volumen. Reducir precios para penetrar mercado y convertir en 'Generador de trafico'.;Precio competitivo, crecer volumen;61,00
INV02282;CUST0102;Male;40,00;Electronics;SKU-049;1,00;742,77;Credit Card;2025-09-18;North Mall;-0,00;0,00;1,00;1,00;N/A;1,00;Mantener;Sin clasificar;Recopilar más datos históricos de precios y ventas para realizar análisis de elasticidad y volumen. Se requieren al menos 3 observaciones de precio-cantidad para estimar elasticidad confiable.;Recolectar mas datos;56,00
INV02283;CUST0180;Male;57,00;Food & Drink;SKU-078;4,00;42,64;Credit Card;2025-05-31;North Mall;-0,03;0,00;4,75;4,53;-38,07;1,05;Bajar mucho;Generador de trafico;Estrategia de penetración: Precios competitivos y promociones agresivas. Alta sensibilidad al precio con alto volumen. Priorizar adquisición de clientes, cross-selling y ventas complementarias. Ofrecer descuentos estratégicos para aumentar volumen y cuota de mercado.;Precios competitivos y promociones;44,00
INV02284;CUST0165;Female;43,00;Electronics;SKU-057;1,00;435,20;Debit Card;2025-08-05;Westside Plaza;0,00;0,00;1,00;1,00;N/A;1,00;Mantener;Sin clasificar;Recopilar más datos históricos de precios y ventas para realizar análisis de elasticidad y volumen. Se requieren al menos 3 observaciones de precio-cantidad para estimar elasticidad confiable.;Recolectar mas datos;58,00
INV02285;CUST0024;Female;45,00;Clothing;SKU-001;4,00;22,81;Credit Card;2025-10-30;Westside Plaza;-0,08;0,01;2,59;2,49;-10,05;1,04;Bajar mucho;Generador de trafico;Estrategia de penetración: Precios competitivos y promociones agresivas. Alta sensibilidad al precio con alto volumen. Priorizar adquisición de clientes, cross-selling y ventas complementarias. Ofrecer descuentos estratégicos para aumentar volumen y cuota de mercado.;Precios competitivos y promociones;44,00
INV02286;CUST0143;Male;31,00;Electronics;SKU-057;1,00;393,15;Debit Card;2025-07-08;Downtown Galleria;0,00;0,00;1,00;1,00;N/A;1,00;Mantener;Sin clasificar;Recopilar más datos históricos de precios y ventas para realizar análisis de elasticidad y volumen. Se requieren al menos 3 observaciones de precio-cantidad para estimar elasticidad confiable.;Recolectar mas datos;58,00
INV02287;CUST0177;Male;32,00;Clothing;SKU-008;2,00;131,10;Cash;2025-08-18;North Mall;0,18;0,01;2,46;2,49;23,06;0,99;Bajar mucho;Promesa de valor;Posicionamiento por valor: Precio competitivo con diferenciación por calidad. Producto sensible al precio con bajo volumen. Invertir en marketing, branding y fidelización para aumentar volumen. Reducir precios para penetrar mercado y convertir en 'Generador de trafico'.;Precio competitivo, crecer volumen;50,00
INV02288;CUST0186;Female;43,00;Food & Drink;SKU-063;3,00;21,51;Cash;2025-09-11;North Mall;0,02;0,00;4,27;4,53;21,58;0,94;Bajar mucho;Promesa de valor;Posicionamiento por valor: Precio competitivo con diferenciación por calidad. Producto sensible al precio con bajo volumen. Invertir en marketing, branding y fidelización para aumentar volumen. Reducir precios para penetrar mercado y convertir en 'Generador de trafico'.;Precio competitivo, crecer volumen;48,00
INV02289;CUST0123;Female;35,00;Clothing;SKU-003;3,00;82,86;Debit Card;2025-11-04;Downtown Galleria;0,13;0,01;2,54;2,49;16,30;1,02;Bajar mucho;Generador de trafico;Estrategia de penetración: Precios competitivos y promociones agresivas. Alta sensibilidad al precio con alto volumen. Priorizar adquisición de clientes, cross-selling y ventas complementarias. Ofrecer descuentos estratégicos para aumentar volumen y cuota de mercado.;Precios competitivos y promociones;54,00
INV02290;CUST0029;Female;40,00;Home Goods;SKU-082;1,00;226,12;Cash;2025-09-01;Westside Plaza;-0,27;-0,03;1,56;1,52;8,03;1,03;Bajar mucho;Generador de trafico;Estrategia de penetración: Precios competitivos y promociones agresivas. Alta sensibilidad al precio con alto volumen. Priorizar adquisición de clientes, cross-selling y ventas complementarias. Ofrecer descuentos estratégicos para aumentar volumen y cuota de mercado.;Precios competitivos y promociones;48,00
INV02291;CUST0045;Male;28,00;Home Goods;SKU-096;1,00;80,02;Credit Card;2025-05-31;Downtown Galleria;-0,13;-0,03;1,54;1,52;3,98;1,01;Bajar mucho;Generador de trafico;Estrategia de penetración: Precios competitivos y promociones agresivas. Alta sensibilidad al precio con alto volumen. Priorizar adquisición de clientes, cross-selling y ventas complementarias. Ofrecer descuentos estratégicos para aumentar volumen y cuota de mercado.;Precios competitivos y promociones;56,00
INV02292;CUST0032;Female;30,00;Clothing;SKU-022;2,00;122,29;Cash;2025-06-13;Downtown Galleria;-0,28;0,01;2,47;2,49;-36,79;0,99;Bajar mucho;Promesa de valor;Posicionamiento por valor: Precio competitivo con diferenciación por calidad. Producto sensible al precio con bajo volumen. Invertir en marketing, branding y fidelización para aumentar volumen. Reducir precios para penetrar mercado y convertir en 'Generador de trafico'.;Precio competitivo, crecer volumen;57,00
INV02293;CUST0092;Female;48,00;Home Goods;SKU-082;1,00;133,83;Credit Card;2025-10-21;North Mall;-0,27;-0,03;1,56;1,52;8,03;1,03;Bajar mucho;Generador de trafico;Estrategia de penetración: Precios competitivos y promociones agresivas. Alta sensibilidad al precio con alto volumen. Priorizar adquisición de clientes, cross-selling y ventas complementarias. Ofrecer descuentos estratégicos para aumentar volumen y cuota de mercado.;Precios competitivos y promociones;48,00
INV02294;CUST0092;Female;34,00;Home Goods;SKU-084;1,00;123,52;Credit Card;2025-07-14;Westside Plaza;-0,10;-0,03;1,53;1,52;3,00;1,01;Bajar mucho;Generador de trafico;Estrategia de penetración: Precios competitivos y promociones agresivas. Alta sensibilidad al precio con alto volumen. Priorizar adquisición de clientes, cross-selling y ventas complementarias. Ofrecer descuentos estratégicos para aumentar volumen y cuota de mercado.;Precios competitivos y promociones;43,00
INV02295;CUST0089;Male;52,00;Electronics;SKU-042;1,00;194,87;Credit Card;2025-11-06;North Mall;-0,00;0,00;1,00;1,00;N/A;1,00;Mantener;Sin clasificar;Recopilar más datos históricos de precios y ventas para realizar análisis de elasticidad y volumen. Se requieren al menos 3 observaciones de precio-cantidad para estimar elasticidad confiable.;Recolectar mas datos;50,00
INV02296;CUST0034;Female;54,00;Electronics;SKU-058;1,00;734,71;Credit Card;2025-06-05;Westside Plaza;0,00;0,00;1,00;1,00;N/A;1,00;Mantener;Sin clasificar;Recopilar más datos históricos de precios y ventas para realizar análisis de elasticidad y volumen. Se requieren al menos 3 observaciones de precio-cantidad para estimar elasticidad confiable.;Recolectar mas datos;40,00
INV02297;CUST0091;Female;32,00;Electronics;SKU-037;1,00;811,44;Credit Card;2025-07-28;North Mall;-0,00;0,00;1,00;1,00;N/A;1,00;Mantener;Sin clasificar;Recopilar más datos históricos de precios y ventas para realizar análisis de elasticidad y volumen. Se requieren al menos 3 observaciones de precio-cantidad para estimar elasticidad confiable.;Recolectar mas datos;55,00
INV02298;CUST0014;Female;23,00;Food & Drink;SKU-071;4,00;42,92;Credit Card;2025-10-09;Downtown Galleria;-0,04;0,00;4,33;4,53;-56,08;0,96;Bajar mucho;Promesa de valor;Posicionamiento por valor: Precio competitivo con diferenciación por calidad. Producto sensible al precio con bajo volumen. Invertir en marketing, branding y fidelización para aumentar volumen. Reducir precios para penetrar mercado y convertir en 'Generador de trafico'.;Precio competitivo, crecer volumen;51,00
INV02299;CUST0131;Female;32,00;Home Goods;SKU-090;1,00;127,49;Credit Card;2025-06-26;North Mall;-0,08;-0,03;1,39;1,52;2,47;0,92;Bajar mucho;Promesa de valor;Posicionamiento por valor: Precio competitivo con diferenciación por calidad. Producto sensible al precio con bajo volumen. Invertir en marketing, branding y fidelización para aumentar volumen. Reducir precios para penetrar mercado y convertir en 'Generador de trafico'.;Precio competitivo, crecer volumen;33,00
